symbol,date,price
VegB,2012-06-22 22:43:10 UTC,97
VegC,2012-06-22 22:43:10 UTC,1
VegD,2012-06-22 22:43:10 UTC,25
VegA,2012-06-22 22:43:20 UTC,595
VegB,2012-06-22 22:43:20 UTC,98
VegC,2012-06-22 22:43:20 UTC,1
VegD,2012-06-22 22:43:20 UTC,25
VegA,2012-06-22 22:43:30 UTC,596
VegB,2012-06-22 22:43:30 UTC,98
VegC,2012-06-22 22:43:30 UTC,1
VegD,2012-06-22 22:43:30 UTC,25
VegA,2012-06-22 22:43:40 UTC,595
VegB,2012-06-22 22:43:40 UTC,98
VegC,2012-06-22 22:43:40 UTC,0
VegD,2012-06-22 22:43:40 UTC,25
VegA,2012-06-22 22:43:50 UTC,595
VegB,2012-06-22 22:43:50 UTC,96
VegC,2012-06-22 22:43:50 UTC,0
VegD,2012-06-22 22:43:50 UTC,24
VegA,2012-06-22 22:44:00 UTC,595
VegB,2012-06-22 22:44:00 UTC,97
VegC,2012-06-22 22:44:00 UTC,1
VegD,2012-06-22 22:44:00 UTC,24
VegA,2012-06-22 22:44:10 UTC,595
VegB,2012-06-22 22:44:10 UTC,98
VegC,2012-06-22 22:44:10 UTC,1
VegD,2012-06-22 22:44:10 UTC,25
VegA,2012-06-22 22:44:20 UTC,595
VegB,2012-06-22 22:44:20 UTC,99
VegC,2012-06-22 22:44:20 UTC,0
VegD,2012-06-22 22:44:20 UTC,25
VegA,2012-06-22 22:44:30 UTC,596
VegB,2012-06-22 22:44:30 UTC,97
VegC,2012-06-22 22:44:30 UTC,1
VegD,2012-06-22 22:44:30 UTC,25
VegA,2012-06-22 22:44:40 UTC,595
VegB,2012-06-22 22:44:40 UTC,98
VegC,2012-06-22 22:44:40 UTC,1
VegD,2012-06-22 22:44:40 UTC,24
VegA,2012-06-22 22:44:50 UTC,595
VegB,2012-06-22 22:44:50 UTC,98
VegC,2012-06-22 22:44:50 UTC,0
VegD,2012-06-22 22:44:50 UTC,24
VegA,2012-06-22 22:45:00 UTC,595
VegB,2012-06-22 22:45:00 UTC,97
VegC,2012-06-22 22:45:00 UTC,1
VegD,2012-06-22 22:45:00 UTC,25
VegA,2012-06-22 22:45:10 UTC,595
VegB,2012-06-22 22:45:10 UTC,99
VegC,2012-06-22 22:45:10 UTC,1
VegD,2012-06-22 22:45:10 UTC,24
VegA,2012-06-22 22:45:30 UTC,595
VegB,2012-06-22 22:45:30 UTC,97
VegC,2012-06-22 22:45:30 UTC,1
VegD,2012-06-22 22:45:30 UTC,24
VegA,2012-06-22 22:45:40 UTC,595
VegB,2012-06-22 22:45:40 UTC,97
VegC,2012-06-22 22:45:40 UTC,3
VegD,2012-06-22 22:45:40 UTC,25
VegA,2012-06-22 22:45:50 UTC,595
VegB,2012-06-22 22:45:50 UTC,96
VegC,2012-06-22 22:45:50 UTC,1
VegD,2012-06-22 22:45:50 UTC,24
VegA,2012-06-22 22:46:00 UTC,595
VegB,2012-06-22 22:46:00 UTC,97
VegC,2012-06-22 22:46:00 UTC,1
VegD,2012-06-22 22:46:00 UTC,25
VegA,2012-06-22 22:46:10 UTC,595
VegB,2012-06-22 22:46:10 UTC,97
VegC,2012-06-22 22:46:10 UTC,0
VegD,2012-06-22 22:46:10 UTC,24
VegA,2012-06-22 22:46:31 UTC,595
